desc,carbs,fat,fiber,protein,pps
Pizza Hut Large Hand-Tossed Hawaiian Chicken Pizza,35.00,9.00,3.00,14.00,7.20
Pizza Hut Medium Hand-Tossed Meat Lover's Pizza,26.00,16.00,2.00,12.00,7.90
Pizza Hut Large Hand-Tossed Meat Lover's Pizza,35.00,23.00,2.00,17.00,11.10
Pizza Hut Medium Hand-Tossed Pepperoni Lover's Pizza,26.00,13.00,2.00,12.00,7.10
Pizza Hut Large Hand-Tossed Pepperoni Lover's Pizza,35.00,19.00,2.00,16.00,10.00
Pizza Hut Medium Hand-Tossed Pepperoni Pizza,25.00,10.00,2.00,9.00,6.00
Pizza Hut Large Hand-Tossed Pepperoni Pizza,35.00,13.00,2.00,12.00,8.10
Pizza Hut Medium Hand-Tossed Super Supreme Pizza,27.00,13.00,2.00,11.00,7.10
Pizza Hut Large Hand-Tossed Super Supreme Pizza,36.00,19.00,2.00,16.00,10.10
Pizza Hut Medium Hand-Tossed Supreme Pizza,27.00,12.00,2.00,10.00,6.80
Pizza Hut Large Hand-Tossed Supreme Pizza,36.00,17.00,2.00,14.00,9.40
Pizza Hut Medium Hand-Tossed Ultimate Cheese Lover's Pizza,26.00,9.00,1.00,9.00,5.90
Pizza Hut Large Hand-Tossed Ultimate Cheese Lover's Pizza,34.00,13.00,1.00,13.00,8.20
Pizza Hut Medium Hand-Tossed Veggie Lover's Pizza,27.00,7.00,2.00,8.00,5.30
Pizza Hut Large Hand-Tossed Veggie Lover's Pizza,36.00,9.00,2.00,11.00,7.10
Pizza Hut Baked Hot Wings,1.00,6.00,0.00,10.00,2.60
Pizza Hut Baked Mild Wings,1.00,7.00,0.00,10.00,2.80
Pizza Hut Blue Cheese Dipping Sauce (1.5 oz),2.00,24.00,0.00,1.00,6.50
Pizza Hut All American Wings,0.00,5.00,0.00,7.00,1.90
Pizza Hut Buffalo Burnin Hot Wings,8.00,6.00,1.00,8.00,3.10
Pizza Hut Buffalo Medium Wings,8.00,6.00,1.00,8.00,3.10
Pizza Hut Buffalo Mild Wings,8.00,6.00,1.00,8.00,3.10
Pizza Hut Garlic Parmesan Wings,1.00,16.00,0.00,8.00,5.00
Pizza Hut Honey BBQ Wings,16.00,5.00,0.00,8.00,3.80
Pizza Hut Lemon Pepper Wings,8.00,10.00,0.00,8.00,4.20
Pizza Hut Spicy Asian Wings,13.00,5.00,0.00,8.00,3.40
Pizza Hut Spicy BBQ Wings,11.00,5.00,0.00,8.00,3.20
Pizza Hut All American Bonless Wings,11.00,8.00,1.00,10.00,4.10
Pizza Hut Buffalo Burnin Hot Bonless Wings,18.00,8.00,1.00,10.00,4.90
Pizza Hut Buffalo Medium Bonless Wings,18.00,9.00,1.00,10.00,5.10
Pizza Hut Buffalo Mild Bonless Wings,18.00,9.00,1.00,10.00,5.10
Pizza Hut Garlic Parmesan Bonless Wings,11.00,19.00,1.00,11.00,7.00
Pizza Hut Honey BBQ Bonless Wings,27.00,8.00,1.00,10.00,5.90
Pizza Hut Lemon Pepper Bonless Wings,18.00,12.00,1.00,10.00,5.90
Pizza Hut Spicy Asian Bonless Wings,24.00,8.00,1.00,10.00,5.50
Pizza Hut Spicy BBQ Bonless Wings,21.00,8.00,1.00,10.00,5.20
Pizza Hut All American Crispy Wings,8.00,14.00,1.00,9.00,5.20
Pizza Hut Buffalo Burnin Hot Crispy Wings,16.00,15.00,1.00,9.00,6.40
Pizza Hut Buffalo Medium Crispy Wings,16.00,15.00,2.00,9.00,6.30
Pizza Hut Buffalo Mild Crispy Wings,16.00,15.00,1.00,9.00,6.40
Pizza Hut Garlic Parmesan Crispy Wings,9.00,25.00,1.00,10.00,8.20
Pizza Hut Honey BBQ Crispy Wings,24.00,14.00,1.00,10.00,7.10
Pizza Hut Lemon Pepper Crispy Wings,16.00,19.00,1.00,9.00,7.40
Pizza Hut Spicy Asian Crispy Wings,21.00,14.00,1.00,10.00,6.70
Pizza Hut Spicy BBQ Crispy Wings,19.00,14.00,1.00,9.00,6.40
Pizza Hut Apple Pie (2 pies),40.00,17.00,2.00,2.00,8.80
Pizza Hut Cinnabon Mini Rolls,117.00,31.00,0.00,16.00,22.30
Pizza Hut Cinnamon Sticks,26.00,5.00,1.00,4.00,4.40
Pizza Hut HERSHEY'S® Chocolate Dunkers® (2 pieces),27.00,8.00,2.00,5.00,5.30
Pizza Hut HERSHEY'S® Chocolate Sauce (1.5 oz),24.00,3.00,1.00,1.00,3.40
Pizza Hut White Icing Dipping Cup (2 oz),44.00,0.00,0.00,0.00,4.80
Pizza Hut Diet Pepsi® (Large),0.00,0.00,0.00,0.00,0.00
Pizza Hut Diet Pepsi® (Medium),0.00,0.00,0.00,0.00,0.00
Pizza Hut Diet Pepsi® (Small),0.00,0.00,0.00,0.00,0.00
Pizza Hut Small Mountain Dew®,58.00,0.00,0.00,0.00,6.40
Pizza Hut Medium Mountain Dew®,80.00,0.00,0.00,0.00,8.80
Pizza Hut Large Mountain Dew®,116.00,0.00,0.00,0.00,12.70
Pizza Hut Pepsi® (Large),112.00,0.00,0.00,0.00,12.30
Pizza Hut Pepsi® (Medium),77.00,0.00,0.00,0.00,8.40
Pizza Hut Pepsi® (Small),56.00,0.00,0.00,0.00,6.10
Pizza Hut Sierra Mist® (Large),108.00,0.00,0.00,0.00,11.80
Pizza Hut Sierra Mist® (Medium),74.00,0.00,0.00,0.00,8.10
Pizza Hut Sierra Mist® (Small),54.00,0.00,0.00,0.00,5.90
Pizza Hut Classic P'Zone,61.00,17.00,2.00,19.00,12.60
Pizza Hut Meaty P'Zone,61.00,24.00,2.00,23.00,14.80
Pizza Hut Pepperoni P'Zone,60.00,16.00,2.00,19.00,12.30
Pizza Hut Small Backyard BBQ Chicken Pan Pizza,17.00,6.00,1.00,7.00,4.00
Pizza Hut Personal Backyard BBQ Chicken Pan Pizza,19.00,7.00,1.00,8.00,4.50
Pizza Hut Medium Backyard BBQ Chicken Pan Pizza,31.00,10.00,2.00,11.00,6.80
Pizza Hut Large Backyard BBQ Chicken Pan Pizza,41.00,16.00,2.00,16.00,9.90
Pizza Hut Small BBQ Bacon Cheeseburger Pan Pizza,17.00,8.00,1.00,6.00,4.40
Pizza Hut Personal BBQ Bacon Cheeseburger Pan Pizza,19.00,9.00,1.00,7.00,5.00
Pizza Hut Medium BBQ Bacon Cheeseburger Pan Pizza,31.00,13.00,2.00,10.00,7.50
Pizza Hut Large BBQ Bacon Cheeseburger Pan Pizza,42.00,20.00,2.00,15.00,11.00
Pizza Hut Small Buffalo Chicken Pan Pizza,16.00,5.00,1.00,6.00,3.50
Pizza Hut Personal Buffalo Chicken Pan Pizza,18.00,6.00,1.00,8.00,4.20
Pizza Hut Medium Buffalo Chicken Pan Pizza,29.00,9.00,2.00,10.00,6.30
Pizza Hut Large Buffalo Chicken Pan Pizza,39.00,15.00,2.00,15.00,9.30
Pizza Hut Small Cheese Pan Pizza,16.00,6.00,1.00,6.00,3.80
Pizza Hut Personal Cheese Pan Pizza,17.00,6.00,1.00,6.00,3.90
Pizza Hut Medium Cheese Pan Pizza,26.00,10.00,1.00,10.00,6.30
Pizza Hut Large Cheese Pan Pizza,35.00,17.00,2.00,14.00,9.30
Pizza Hut Small Chicken Bacon Parmesan Pan Pizza,15.00,7.00,1.00,7.00,4.00
Pizza Hut Personal Chicken Bacon Parmesan Pan Pizza,17.00,8.00,1.00,8.00,4.60
Pizza Hut Medium Chicken Bacon Parmesan Pan Pizza,27.00,12.00,2.00,12.00,7.00
Pizza Hut Large Chicken Bacon Parmesan Pan Pizza,35.00,19.00,2.00,16.00,10.00
Pizza Hut Medium Chicken Supreme Pan Pizza,27.00,9.00,2.00,12.00,6.20
Pizza Hut Large Chicken Supreme Pan Pizza,36.00,15.00,2.00,16.00,9.10
Pizza Hut Personal Chicken Supreme Pan Pizza,69.00,21.00,4.00,31.00,15.50
Pizza Hut Small Five Pepper Pepperoni Pan Pizza,16.00,6.00,1.00,5.00,3.70
Pizza Hut Pan Five Pepper Pepperoni Pan Pizza,17.00,6.00,1.00,6.00,3.90
Pizza Hut Medium Five Pepper Pepperoni Pan Pizza,28.00,10.00,2.00,9.00,6.30
Pizza Hut Large Five Pepper Pepperoni Pan Pizza,36.00,16.00,2.00,13.00,9.10
Pizza Hut Small Hawaiian Chicken Pan Pizza,16.00,5.00,1.00,7.00,3.60
Pizza Hut Personal Hawaiian Chicken Pan Pizza,18.00,5.00,1.00,7.00,3.80
Pizza Hut Medium Hawaiian Chicken Pan Pizza,29.00,9.00,2.00,11.00,6.30
Pizza Hut Large Hawaiian Chicken Pan Pizza,37.00,14.00,2.00,15.00,8.90
Pizza Hut Medium Meat Lover's Pan Pizza,26.00,18.00,1.00,13.00,8.60
Pizza Hut Large Meat Lover's Pan Pizza,35.00,28.00,2.00,18.00,12.50
Pizza Hut Personal Meat Lover's Pan Pizza,68.00,48.00,4.00,35.00,22.70
Pizza Hut Medium Pepperoni Lover's Pan Pizza,26.00,16.00,1.00,13.00,8.10
Pizza Hut Large Pepperoni Lover's Pan Pizza,29.00,19.00,1.00,15.00,9.40
Pizza Hut Large Pepperoni Lover's Pan Pizza,35.00,25.00,2.00,18.00,11.80
Pizza Hut Personal Pepperoni Lover's Pan Pizza,68.00,37.00,4.00,31.00,19.50
Pizza Hut Medium Pepperoni Pan Pizza,26.00,13.00,1.00,10.00,7.00
Pizza Hut Large Pepperoni Pan Pizza,36.00,20.00,2.00,16.00,10.40
Pizza Hut Personal Pepperoni Pan Pizza,68.00,28.00,4.00,25.00,16.60
Pizza Hut Medium Super Supreme Pan Pizza,27.00,15.00,2.00,12.00,7.80
Pizza Hut Large Super Supreme Pan Pizza,36.00,24.00,2.00,17.00,11.50
Pizza Hut Personal Super Supreme Pan Pizza,70.00,40.00,4.00,32.00,20.60
Pizza Hut Medium Supreme Pan Pizza,27.00,14.00,2.00,11.00,7.40
Pizza Hut Large Supreme Pan Pizza,36.00,23.00,2.00,17.00,11.30
Pizza Hut Personal Supreme Pan Pizza,69.00,38.00,4.00,29.00,19.70
Pizza Hut Medium Ultimate Cheese Lover's Pan Pizza,26.00,12.00,1.00,10.00,6.80
Pizza Hut Large Ultimate Cheese Lover's Pan Pizza,34.00,20.00,1.00,15.00,10.20
Pizza Hut Personal Ultimate Cheese Lover's Pan Pizza,67.00,29.00,3.00,26.00,16.90
Pizza Hut Medium Veggie Lover's Pan Pizza,27.00,9.00,2.00,9.00,5.90
Pizza Hut Large Veggie Lover's Pan Pizza,36.00,15.00,2.00,12.00,8.70
Pizza Hut Personal Veggie Lover's Pan Pizza,69.00,20.00,4.00,22.00,14.40
Pizza Hut Cheese Dinner Box Pizza,28.00,10.00,1.00,10.00,6.50
Pizza Hut Chicken Supreme Dinner Box Pizza,29.00,9.00,2.00,11.00,6.30
Pizza Hut Meat Lover's Dinner Box Pizza,28.00,18.00,1.00,13.00,8.80
Pizza Hut Pepperoni Dinner Box Pizza,28.00,12.00,1.00,10.00,7.00
Pizza Hut Pepperoni Lover's Dinner Box Pizza,29.00,15.00,1.00,12.00,8.10
Pizza Hut Super Supreme Dinner Box Pizza,29.00,15.00,2.00,12.00,8.00
Pizza Hut Supreme Dinner Box Pizza,29.00,14.00,2.00,11.00,7.60
Pizza Hut Ultimate Cheese Lover's Dinner Box Pizza,28.00,12.00,1.00,10.00,7.00
Pizza Hut Veggie Lover's Dinner Box Pizza,29.00,9.00,2.00,8.00,6.10
Pizza Hut Marinara Dipping Sauce (3 oz),12.00,0.00,2.00,2.00,1.30
Pizza Hut Ranch Dipping Sauce (1.5 oz),2.00,23.00,0.00,0.00,6.10
Pizza Hut Breadsticks (each),19.00,5.00,1.00,5.00,3.70
Pizza Hut Breadsticks with Cheese (each),20.00,6.00,1.00,8.00,4.40
Pizza Hut Fried Cheese Sticks (4 pieces),29.00,24.00,2.00,13.00,10.40
Pizza Hut Stuffed Pizza Rollers (each),25.00,10.00,1.00,10.00,6.20
Pizza Hut Wedge Fries (side order),35.00,18.00,3.00,4.00,8.60
Pizza Hut Large Cheese Stuffed Crust Pizza,35.00,13.00,2.00,14.00,8.30
Pizza Hut Large Chicken Supreme Stuffed Crust Pizza,36.00,11.00,2.00,17.00,8.20
Pizza Hut Large Meat Lover's Stuffed Crust Pizza,35.00,25.00,2.00,19.00,11.80
Pizza Hut Large Pepperoni Lover's® Pizza,36.00,21.00,2.00,18.00,10.80
Pizza Hut Large Pepperoni Stuffed Crust Pizza,35.00,16.00,2.00,15.00,9.20
Pizza Hut Super Supreme Stuffed Crust Pizza Large,37.00,21.00,3.00,18.00,10.90
Pizza Hut Supreme Stuffed Crust Pizza Large,36.00,19.00,2.00,16.00,10.10
Pizza Hut Ultimate Cheese Lover's Stuffed Crust Pizza Large,35.00,15.00,2.00,14.00,8.80
Pizza Hut Veggie Lover's Stuffed Crust Pizza Large,37.00,11.00,3.00,13.00,7.80
Pizza Hut Small Thin 'n Crispy Backyard BBQ Chicken Pizza,14.00,5.00,1.00,6.00,3.30
Pizza Hut Medium Thin 'n Crispy Backyard BBQ Chicken Pizza,25.00,8.00,1.00,10.00,5.60
Pizza Hut Large Thin 'n Crispy Backyard BBQ Chicken Pizza,34.00,10.00,2.00,14.00,7.40
Pizza Hut Small Thin 'n Crispy Bacon Spinach Alfredo Pizza,13.00,6.00,1.00,5.00,3.30
Pizza Hut Medium Thin 'n Crispy Bacon Spinach Alfredo Pizza,21.00,10.00,1.00,8.00,5.50
Pizza Hut Large Thin 'n Crispy Bacon Spinach Alfredo Pizza,28.00,14.00,2.00,11.00,7.50
Pizza Hut Small Thin 'n Crispy BBQ Bacon Cheeseburger Pizza,15.00,6.00,1.00,5.00,3.60
Pizza Hut Medium Thin 'n Crispy BBQ Bacon Cheeseburger Pizza,25.00,10.00,1.00,9.00,6.10
Pizza Hut Large Thin 'n Crispy BBQ Bacon Cheeseburger Pizza,35.00,14.00,2.00,13.00,8.50
Pizza Hut Small Thin 'n Crispy Buffalo Chicken Pizza,14.00,4.00,1.00,6.00,3.00
Pizza Hut Medium Thin 'n Crispy Buffalo Chicken Pizza,24.00,6.00,1.00,9.00,4.90
Pizza Hut Large Thin 'n Crispy Buffalo Chicken Pizza,32.00,8.00,2.00,13.00,6.60
Pizza Hut Small Thin 'n Crispy Cheese Pizza,14.00,4.00,1.00,5.00,2.90
Pizza Hut Medium Thin 'n Crispy Cheese Pizza,22.00,7.00,2.00,8.00,4.80
Pizza Hut Large Thin 'n Crispy Cheese Pizza,29.00,10.00,3.00,12.00,6.60
Pizza Hut Small Thin 'n Crispy Chicken Bacon Parmesan Pizza,13.00,6.00,1.00,7.00,3.50
Pizza Hut Medium Thin 'n Crispy Chicken Bacon Parmesan Pizza,21.00,10.00,1.00,11.00,5.80
Pizza Hut Large Thin 'n Crispy Chicken Bacon Parmesan Pizza,28.00,13.00,2.00,15.00,7.60
Pizza Hut Small Thin 'n Crispy Chicken Pizza,14.00,3.00,1.00,6.00,2.80
Pizza Hut Medium Thin 'n Crispy Chicken Pizza,24.00,5.00,2.00,9.00,4.60
Pizza Hut Large Thin 'n Crispy Chicken Pizza,31.00,8.00,3.00,13.00,6.40
Pizza Hut Medium Thin 'N Crispy Chicken Supreme Pizza,23.00,6.00,1.00,10.00,4.90
Pizza Hut Large Thin 'N Crispy Chicken Supreme Pizza,30.00,9.00,2.00,14.00,6.70
Pizza Hut Small Thin 'n Crispy Five Pepper Pepperoni Pizza,14.00,4.00,1.00,5.00,2.90
Pizza Hut Medium Thin 'n Crispy Five Pepper Pepperoni Pizza,23.00,7.00,2.00,8.00,4.90
Pizza Hut Large Thin 'n Crispy Five Pepper Pepperoni Pizza,30.00,10.00,2.00,11.00,6.70
Pizza Hut Medium Thin 'N Crispy Meat Lover's Pizza,22.00,16.00,1.00,12.00,7.50
Pizza Hut Large Thin 'N Crispy Meat Lover's Pizza,29.00,23.00,1.00,15.00,10.40
Pizza Hut Medium Thin 'n Crispy Pepperoni Lover's Pizza,22.00,14.00,1.00,11.00,6.90
Pizza Hut Medium Thin 'n Crispy Pepperoni Pizza,21.00,10.00,1.00,9.00,5.60
Pizza Hut Medium Thin 'n Crispy Super Supreme Pizza,23.00,13.00,1.00,11.00,6.80
Pizza Hut Large Thin 'n Crispy Super Supreme Pizza,30.00,18.00,2.00,15.00,9.10
Pizza Hut Medium Thin 'n Crispy Supreme Pizza,23.00,12.00,1.00,10.00,6.40
Pizza Hut Large Thin 'n Crispy Supreme Pizza,30.00,17.00,2.00,14.00,8.80
Pizza Hut Medium Thin 'n Crispy Ultimate Cheese Lover'sÂ® Pizza,21.00,10.00,1.00,9.00,5.60
Pizza Hut Large Thin 'n Crispy Ultimate Cheese Lover'sÂ® Pizza,27.00,14.00,1.00,12.00,7.60
Pizza Hut Medium Thin 'n Crispy Veggie Lover's Pizza,23.00,6.00,1.00,7.00,4.60
Pizza Hut Large Thin 'n Crispy Veggie Lover's Pizza,30.00,9.00,2.00,10.00,6.40
Pizza Hut Chicken Alfredo Pasta,46.00,27.00,3.00,21.00,13.70
Pizza Hut Meaty Marinara Pasta,44.00,21.00,5.00,22.00,11.80
Red Lobster Admiral's Feast,113.00,79.00,6.00,65.00,38.20
Red Lobster Ultimate Feast Bar Harbor Lobster Bake,68.00,72.00,4.00,57.00,30.90
Red Lobster Bar Harbor Lobster Bake,117.00,93.00,9.00,87.00,44.00
Red Lobster Half Portion Cajun Chicken Linguini Alfredo,59.00,33.00,4.00,42.00,18.50
Red Lobster Full Portion Cajun Chicken Linguini Alfredo,119.00,63.00,8.00,84.00,36.30
Red Lobster Center-Cut New York Strip Steak,29.00,35.00,5.00,73.00,18.50
Red Lobster Half Portion Crab Linguini Alfredo,59.00,32.00,4.00,31.00,17.20
Red Lobster Full Portion Crab Linguini Alfredo,118.00,59.00,7.00,62.00,33.20
Red Lobster Crispy Lobster and Waffles,134.00,50.00,8.00,29.00,29.50
Red Lobster Fish and Chips,74.00,48.00,6.00,42.00,23.80
Red Lobster Garlic-Grilled Shrimp,27.00,16.00,0.00,26.00,9.50
Red Lobster Steamed Live Maine Lobster,0.00,34.00,0.00,33.00,11.80
Red Lobster Stuffed Live Maine Lobster,7.00,37.00,0.00,41.00,14.10
Red Lobster Maple-Glazed Chicken,46.00,7.00,0.00,51.00,11.60
Red Lobster NY Strip and Rock Lobster Tail,30.00,70.00,5.00,95.00,29.60
Red Lobster Parmesan-Crusted Fresh Tilapia,18.00,31.00,0.00,49.00,14.50
Red Lobster Parrot Isle Jumbo Coconut Shrimp,77.00,61.00,8.00,24.00,25.70
Red Lobster Roasted Maine Lobster Bake,112.00,66.00,10.00,40.00,32.10
Red Lobster Rock Lobster Tail,28.00,47.00,0.00,42.00,19.00
Red Lobster Half Portion Salmon New Orleans,12.00,50.00,3.00,45.00,18.10
Red Lobster Full Portion Salmon New Orleans,12.00,70.00,3.00,77.00,26.20
Red Lobster Seaside Shrimp Trio,101.00,66.00,7.00,72.00,34.10
Red Lobster Half Portion Shrimp Linguini Alfredo,59.00,32.00,4.00,40.00,18.10
Red Lobster Full Portion Shrimp Linguini Alfredo,118.00,59.00,8.00,80.00,34.80
Red Lobster Snow Crab Legs,0.00,34.00,0.00,32.00,11.70
Red Lobster Walt's Favorite Shrimp,68.00,28.00,4.00,24.00,16.50
"Red Lobster Wood-Grilled Lobster, Shrimp and Salmon",56.00,44.00,2.00,57.00,22.50
Red Lobster Wood-Grilled Peppercorn Sirloin Steak,51.00,31.00,6.00,44.00,17.10
Red Lobster Wood-Grilled Peppercorn Sirloin Steak & Shrimp,28.00,24.00,3.00,53.00,13.90
Red Lobster Shrimp Wood-Grilled Tacos,73.00,22.00,6.00,25.00,15.50
Red Lobster Chicken Wood-Grilled Tacos,70.00,23.00,6.00,34.00,16.20
Red Lobster Lobster Wood-Grilled Tacos,73.00,30.00,6.00,27.00,17.70
Red Lobster Tilapia Wood-Grilled Tacos,69.00,26.00,6.00,51.00,18.50
Red Lobster Cheddar Bay Biscuit,16.00,10.00,0.00,3.00,4.60
Red Lobster Crispy Calamari and Vegetables,138.00,122.00,8.00,31.00,48.60
Red Lobster Crispy Shrimp Lettuce Wraps,93.00,18.00,9.00,23.00,16.20
Red Lobster Langostino Lobster Artichoke-and Seafood Dip,106.00,56.00,10.00,32.00,28.10
Red Lobster Lobster and Langostino Pizza,53.00,34.00,3.00,46.00,18.50
Red Lobster Mozzarella Cheesesticks,67.00,44.00,4.00,37.00,21.70
Red Lobster Seafood-Stuffed Mushrooms,16.00,26.00,2.00,38.00,11.80
Red Lobster Shrimp Cocktail,11.00,0.00,0.00,21.00,3.20
Red Lobster Sweet Chili Shrimp,77.00,76.00,3.00,27.00,30.20
Red Lobster White Wine and Roasted-Garlic Mussels,69.00,57.00,4.00,32.00,24.80
Red Lobster Lighthouse Garlic-Grilled Shrimp,34.00,16.00,4.00,30.00,10.30
Red Lobster Lighthouse Maple-Glazed Chicken,54.00,8.00,4.00,55.00,12.70
Red Lobster Lighthouse Rock Lobster Tail,35.00,15.00,4.00,45.00,11.50
Red Lobster Lighthouse Snow Crab Legs,8.00,35.00,3.00,35.00,12.80
Red Lobster Lighthouse Wood-Grilled Peppercorn Sirloin and Shrimp,37.00,19.00,4.00,54.00,13.60
Red Lobster Alotta Colada,109.00,7.00,7.00,2.00,13.40
Red Lobster Bahama Mama,62.00,0.00,3.00,0.00,6.60
Red Lobster Berry Mango Daiquiri,54.00,0.00,3.00,0.00,5.70
Red Lobster Bloody Mary,6.00,0.00,0.00,0.00,0.70
Red Lobster Chocolate Martini,48.00,2.00,2.00,3.00,5.90
Red Lobster Classic Margarita Rocks,8.00,0.00,0.00,0.00,0.90
Red Lobster Classic Margarita Frozen,23.00,0.00,0.00,0.00,2.50
Red Lobster Cosmopolitan,10.00,0.00,0.00,0.00,1.10
Red Lobster Grand PatrÃ³n Margarita,16.00,0.00,0.00,0.00,1.80
Red Lobster Traditional Lobsterita,57.00,0.00,0.00,0.00,6.30
Red Lobster Raspberry Lobsterita,82.00,0.00,3.00,0.00,8.70
Red Lobster Long Island Iced Tea,15.00,0.00,0.00,0.00,1.60
Red Lobster Malibu Hurricane,30.00,0.00,0.00,0.00,3.30
Red Lobster Mango Mai Tai,35.00,0.00,0.00,0.00,3.80
Red Lobster Manhattan,8.00,0.00,0.00,0.00,0.90
Red Lobster Martini,1.00,1.00,0.00,0.00,0.40
Red Lobster Mojito,32.00,0.00,1.00,0.00,3.40
Red Lobster Mudslide,53.00,22.00,0.00,6.00,12.00
Red Lobster Old Fashioned,6.00,0.00,0.00,0.00,0.70
Red Lobster Strawberry Daiquiri,52.00,0.00,3.00,1.00,5.50
Red Lobster Strawberry Margarita Rocks,20.00,0.00,1.00,0.00,2.10
Red Lobster Strawberry Margarita Frozen,47.00,0.00,2.00,0.00,5.00
Red Lobster Strawberry Mojito,49.00,0.00,1.00,0.00,5.30
Red Lobster Sunset Passion Colada,71.00,4.00,4.00,1.00,8.60
Red Lobster Top Shelf Margarita Rocks,11.00,0.00,0.00,0.00,1.20
Red Lobster Top Shelf Margarita Frozen,26.00,0.00,0.00,0.00,2.90
Red Lobster Triple Berry Sangria,54.00,0.00,3.00,0.00,5.70
Red Lobster Chocolate Wave,136.00,63.00,6.00,11.00,31.60
Red Lobster Key Lime Pie,59.00,14.00,1.00,8.00,10.70
Red Lobster Strawberry Cheesecake,48.00,41.00,3.00,9.00,16.40
Red Lobster Vanilla Bean Cheesecake,63.00,50.00,2.00,9.00,20.40
Red Lobster Warm Apple Crostada,76.00,31.00,2.00,7.00,16.80
Red Lobster Warm Chocolate Chip Lava Cookie,130.00,43.00,4.00,11.00,26.00
Red Lobster Asparagus,5.00,7.00,6.00,3.00,2.10
Red Lobster Baked Potato,45.00,2.00,5.00,5.00,5.50
Red Lobster Broccoli,8.00,0.00,3.00,3.00,0.90
Red Lobster Caesar Side Salad,12.00,25.00,2.00,5.00,8.00
Red Lobster Coleslaw,17.00,20.00,3.00,2.00,6.90
Red Lobster Creamy Langostino Lobster Baked Potato,51.00,11.00,5.00,14.00,9.30
Red Lobster Creamy Langostino Lobster Mashed Potatoes,31.00,18.00,3.00,12.00,8.90
Red Lobster French Fries,42.00,12.00,3.00,4.00,7.80
Red Lobster Garden Side Salad,12.00,2.00,1.00,2.00,1.90
Red Lobster Mashed Potatoes,24.00,9.00,3.00,4.00,5.10
Red Lobster Tomato-Mozzarella Caprese Salad,7.00,8.00,0.00,7.00,3.50
Red Lobster Whipped Sweet Potatoes with Honey-Glazed Pecans,43.00,16.00,4.00,3.00,8.80
Red Lobster Wild Rice Pilaf,25.00,3.00,0.00,2.00,3.70
Red Lobster Blue Cheese Dressing,2.00,24.00,0.00,2.00,6.60
Red Lobster Caesar Dressing,0.00,32.00,0.00,2.00,8.40
Red Lobster Classic Caesar Salad,18.00,46.00,4.00,10.00,14.40
Red Lobster Shrimp Caesar Salad,19.00,48.00,4.00,24.00,16.30
Red Lobster Chicken Caesar Salad,19.00,48.00,4.00,34.00,17.20
Red Lobster Salmon Caesar Salad,18.00,65.00,4.00,42.00,22.20
Red Lobster Champagne Vinaigrette,9.00,4.00,0.00,0.00,2.00
Red Lobster Cup Creamy Potato Bacon Soup,30.00,20.00,1.00,6.00,8.90
Red Lobster Bowl Creamy Potato Bacon Soup,59.00,40.00,3.00,11.00,17.50
Red Lobster Honey Mustard Dressing,9.00,18.00,0.00,0.00,5.60
Red Lobster Cup Lobster Bisque,23.00,20.00,0.00,7.00,8.30
Red Lobster Bowl Lobster Bisque,46.00,40.00,1.00,15.00,16.60
Red Lobster New England Clam Chowder Cup,20.00,16.00,0.00,7.00,6.90
Red Lobster New England Clam Chowder Bowl,41.00,31.00,2.00,15.00,13.70
Red Lobster Ranch Dressing,2.00,16.00,0.00,0.00,4.30
Red Lobster Thousand Island Dressing,,,,,0.00
Sonic Quarter Pound Double Stack Cheeseburger,44.00,54.00,1.00,46.00,22.90
Sonic SuperSONIC Double Stack Cheeseburger,44.00,54.00,1.00,46.00,22.90
Sonic Hatch Green Chile Cheeseburger,44.00,43.00,2.00,35.00,18.90
Sonic Jalapeno Burger,42.00,37.00,2.00,31.00,16.80
Sonic Jr. Burger,34.00,17.00,1.00,15.00,9.40
Sonic Jr. Chili Cheeseburger,32.00,24.00,1.00,20.00,11.40
Sonic Jr. Deluxe Burger,32.00,23.00,1.00,15.00,10.70
Sonic Jr. Deluxe Cheeseburger,33.00,28.00,1.00,19.00,12.50
Sonic Jr. Double Cheeseburger,35.00,38.00,1.00,31.00,16.40
Sonic Classic Signature Slinger,26.00,21.00,2.00,15.00,9.50
Sonic Bacon Melt Signature Slinger,25.00,27.00,2.00,21.00,11.40
Sonic Sonic Bacon Cheeseburger (w/mayo),45.00,59.00,2.00,39.00,23.50
Sonic Sonic Burger W/ Mustard,43.00,37.00,2.00,31.00,16.90
Sonic Sonic Burger W/ Ketchup,46.00,37.00,2.00,32.00,17.30
Sonic Sonic Burger W/ Mayonnaise,44.00,48.00,2.00,31.00,19.80
Sonic Sonic Cheeseburger W/ Mustard,43.00,43.00,2.00,35.00,18.80
Sonic Sonic Cheeseburger W/ Ketchup,47.00,43.00,2.00,35.00,19.30
Sonic Sonic Cheeseburger W/ Mayonnaise,44.00,54.00,2.00,35.00,21.80
Sonic Super Sonic Bacon Double Cheeseburger (w/mayo),44.00,92.00,2.00,67.00,34.50
Sonic Super Sonic Double Cheeseburger W/ Mustard,44.00,76.00,2.00,63.00,30.00
Sonic Super Sonic Double Cheeseburger W/ Ketchup,47.00,76.00,2.00,63.00,30.30
Sonic Super Sonic Double Cheeseburger W/ Mayo,45.00,87.00,2.00,63.00,32.90
Sonic Super Sonic Jalapeno Double Cheeseburger,43.00,76.00,2.00,63.00,29.90
