desc,carbs,fat,fiber,protein,pps
McDonald's Steak Egg & Cheese Biscuit,40.00,30.00,3.00,25.00,14.10
McDonald's Sausage McMuffin with Egg,30.00,30.00,2.00,21.00,12.80
McDonald's Hotcakes and Sausage,103.00,35.00,2.00,16.00,21.60
McDonald's Southern Style Chicken Biscuit,45.00,21.00,2.00,16.00,11.60
McDonald's Sausage Burrito,26.00,16.00,1.00,13.00,8.10
McDonald's Fruit & Maple Oatmeal,62.00,4.00,5.00,6.00,8.00
McDonald's Egg McMuffin,30.00,12.00,2.00,18.00,7.90
McDonald's Bacon Egg & Cheese Biscuit,40.00,24.00,2.00,18.00,12.00
McDonald's Sausage Biscuit,36.00,30.00,2.00,11.00,12.50
McDonald's Sausage Biscuit with Egg,38.00,34.00,2.00,17.00,14.30
McDonald's Bacon Egg & Cheese McGriddles,45.00,18.00,2.00,18.00,11.10
McDonald's Sausage McGriddles,42.00,24.00,1.00,11.00,11.70
McDonald's Sausage Egg & Cheese McGriddles,45.00,32.00,2.00,20.00,14.80
McDonald's Bacon Egg & Cheese Bagel with Egg Whites,53.00,22.00,3.00,25.00,13.50
McDonald's Big Breakfast,53.00,49.00,3.00,25.00,20.40
McDonald's Big Breakfast with Hotcakes,155.00,65.00,6.00,35.00,36.40
McDonald's Cinnamon Melts,66.00,19.00,3.00,6.00,12.40
McDonald's Hotcakes,102.00,16.00,2.00,9.00,16.00
McDonald's Egg White Delight,29.00,10.00,2.00,18.00,7.20
McDonald's Hash Browns,16.00,9.00,1.00,1.00,4.10
McDonald's Bacon Egg & Cheese Scratch Biscuit,43.00,25.00,3.00,19.00,12.60
McDonald's Sausage Scratch Biscuit,39.00,32.00,2.00,12.00,13.40
McDonald's Sausage Scratch Biscuit with Egg,41.00,36.00,2.00,18.00,15.20
McDonald's Southern Style Chicken Scratch Biscuit,48.00,23.00,2.00,16.00,12.50
McDonald's Sausage McMuffin with Egg Whites,29.00,26.00,2.00,20.00,11.50
McDonald's Bacon Egg & Cheese McGriddles with Egg Whites,44.00,15.00,2.00,18.00,10.20
McDonald's Bacon Egg & Cheese Biscuit with Egg Whites,39.00,21.00,2.00,18.00,11.20
McDonald's Big Breakfast with Egg Whites,52.00,40.00,3.00,24.00,17.90
McDonald's Big Breakfast with Hotcakes and Egg Whites,154.00,57.00,6.00,33.00,34.10
McDonald's Fruit & Maple Oatmeal without Brown Sugar,49.00,4.00,5.00,6.00,6.50
McDonald's Sausage Biscuit with Egg Whites,36.00,31.00,2.00,17.00,13.30
McDonald's Sausage Egg & Cheese McGriddles with Egg Whites,44.00,29.00,2.00,19.00,13.90
McDonald's Bacon Egg & Cheese Bagel,52.00,22.00,3.00,23.00,13.20
McDonald's Steak Egg & Cheese McMuffin,30.00,22.00,2.00,26.00,11.20
McDonald's Sausage McMuffin,29.00,25.00,2.00,14.00,10.70
McDonald's Biscuit and Sausage Gravy,43.00,26.00,2.00,9.00,12.10
McDonald's Chorizo Burrito,28.00,15.00,2.00,16.00,8.20
McDonald's Chicken McGriddles,51.00,15.00,2.00,14.00,10.60
McDonald's Egg and Cheese Bagel,53.00,20.00,4.00,20.00,12.50
McDonald's Blueberry Muffin Main Street Gourmet,60.00,15.00,2.00,7.00,10.90
McDonald's Big Breakfast Two Bacon Hotcakes Scrambled Egg and Biscuit,156.00,56.00,6.00,39.00,34.60
McDonald's Bacon and White Cheddar Cheese McMuffin,30.00,16.00,2.00,20.00,9.10
McDonald's Steak and Egg Biscuit,38.00,27.00,2.00,22.00,13.00
McDonald's Steak Egg and Cheese McGriddles,46.00,24.00,3.00,25.00,13.30
McDonald's Apple Cinnamon Muffin,61.00,2.50,3.00,7.00,7.70
